id,nom_region,chef_lieu,latitude,longitude,altitude_moyenne,climate_type_id,timezone_id
1,Analamanga,Antananarivo,-18.8792,47.5079,1280,2,1
2,Vakinankaratra,Antsirabe,-19.8656,47.0333,1500,2,1
3,Itasy,Miarinarivo,-18.8741,46.2606,1200,2,1
4,Bongolava,Tsiroanomandidy,-18.7667,46.0333,900,2,1
5,Matsiatra Ambony,Fianarantsoa,-21.4528,47.0855,1100,2,1
6,Amoron'i Mania,Ambositra,-20.5250,47.2266,1200,2,1
7,Vatovavy,Mananjary,-21.2303,48.3417,20,1,1
8,Fitovinany,Manakara,-22.1486,48.0106,10,1,1
9,Atsimo-Atsinanana,Farafangana,-22.8167,47.8333,10,1,1
10,Atsinanana,Toamasina,-18.1492,49.4023,5,1,1
11,Analanjirofo,Fenoarivo Atsinanana,-17.3809,49.4083,50,5,1
12,Alaotra-Mangoro,Ambatondrazaka,-17.8333,48.4167,900,2,1
13,Boeny,Mahajanga,-15.7167,46.3167,10,4,1
14,Sofia,Antsohihy,-14.8796,47.9875,50,4,1
15,Betsiboka,Maevatanana,-16.3833,46.8333,50,4,1
16,Melaky,Maintirano,-18.0678,44.0292,50,4,1
17,Atsimo-Andrefana,Toliara,-23.3514,43.6667,20,3,1
18,Androy,Ambovombe,-25.1667,46.1167,100,3,1
19,Anosy,Tôlanaro (Fort Dauphin),-25.03,46.98,50,3,1
20,Menabe,Morondava,-20.2841,44.3161,10,4,1
21,Diana,Antsiranana,-12.2628,49.2861,50,5,1
22,Sava,Sambava,-14.2667,50.1667,20,5,1
