id,region_id,nom_station,latitude,longitude,elevation
1,1,Station Antananarivo,-18.8792,47.5079,1280
2,2,Station Antsirabe,-19.8656,47.0333,1500
3,3,Station Miarinarivo,-18.8741,46.2606,1200
4,4,Station Tsiroanomandidy,-18.7667,46.0333,900
5,5,Station Fianarantsoa,-21.4528,47.0855,1100
6,6,Station Ambositra,-20.5250,47.2266,1200
7,7,Station Fenoarivo,-18.8667,48.4667,20
8,8,Station Farafangana,-21.7736,47.8319,10
9,9,Station Manakara,-21.7833,48.0167,5
10,10,Station Toamasina,-18.1492,49.4023,5
11,11,Station Fenoarivo Anj,-17.4167,49.1667,50
12,12,Station Ambatondrazaka,-17.8333,48.4167,900
13,13,Station Mahajanga,-15.7167,46.3167,10
14,14,Station Antsohihy,-14.8667,48.7667,50
15,15,Station Maevatanana,-16.3833,46.8333,50
16,16,Station Melaky,-16.9936,44.7139,50
17,17,Station Toliara,-23.3514,43.6667,20
18,18,Station Ambovombe,-25.1667,46.1167,100
19,19,Station Tolanaro,-25.03,46.98,50
20,20,Station Morondava,-20.2841,44.3161,10
21,21,Station Antsiranana,-12.2628,49.2861,50
22,22,Station Sambava,-14.2667,50.1667,20
