route_id|visit_date|seller_code|customer_code|visit_city|planned_visits|actual_visits|km_travelled|travel_expense|road_toll|trip_status|notes
RT-00001|2024-09-26|VDR0014|CLI0033|Tunis|6|7|337.7|196.56|50.18|PARTIAL|Client absent
RT-00002|2024-04-03|vdr0019|CLI0037|Tivaouane|8|6|81.8|47.39|58.24|COMPLETED|Relance devis
RT-00003|2025-01-29|VDR0061|CLI0091|La Marsa|6|6|141.3|93.58|57.41|COMPLETED|Prospection
RT-00004|2024-05-03|VDR0056|CLI0167|Sfax|2|2|156,0|123,58|50,10|CANCELLED|RAS
RT-00005|2024/07/19|VDR0057|CLI0093|Thiès|2|4|228,0|130,91|6,12|COMPLETED|Prospection
RT-00006|2024-10-07|VDR0008|CLI0147|NANTERRE|8|9|348,4|295,75|41,10|PARTIAL|Client absent
RT-00007|2024-06-30|vdr0017|CLI0022|MBOUR|8|6|184.9|87.35|41.44|PARTIAL|Prospection
RT-00008|22/06/2024|vdr0047|CLI0133|Meknès|7|8|20,7|12,76|43,40|COMPLETED|Livraison en attente
RT-00009|22/07/2024|vdr0065|CLI0105|YAMOUSSOUKRO|7|5|85.1|48.89|36.44|PARTIAL|Client absent
RT-00010|2024-03-29|VDR0024|CLI0082|Lyon|2|1|254.4|194.74|14.14|COMPLETED|Client absent
RT-00011|13/11/2024|VDR0007|CLI0098|Abidjan|3|3|300,9|152,31|20,51|COMPLETED|Relance devis
RT-00012|29/12/2024|VDR0047|CLI0090|Abidjan|6|7|327.8|256.27|44.66|COMPLETED|Prospection
RT-00013|31/07/2024|VDR0044|cli0180|Mahres|6|6|407.2|198.02|50.27|COMPLETED|Livraison en attente
RT-00014|2024-11-26|VDR0048|CLI0145|Créteil|6|4|168.1|97.32|6.80|COMPLETED|Client absent
RT-00015|2025-04-23|VDR0024|CLI0193|Essaouira|8|10|23,8|15,06|37,44|COMPLETED|Client absent
RT-00016|2025-06-03|VDR0014|CLI0108|Meknès|4|6|187,5|114,43|1,86|PARTIAL|Client absent
RT-00017|2024-12-07| VDR0007 |CLI0024|Thiès|8|7|140,3|108,11|29,82|COMPLETED|RAS
RT-00018|2024-09-07|vdr0020|CLI0176|Saint-Étienne|8|8|239.9|108.43|10.36|COMPLETED|RAS
RT-00019|2025/01/31|VDR0017|CLI0082|Lyon|3|4|324.0|246.01|58.37|COMPLETED|Client absent
RT-00020|2024-07-01|VDR0031|CLI0095|Rabat|6|4|161.7|112.26|48.86|COMPLETED|Relance devis
RT-00021|2024-06-03|VDR0037|CLI0080|Bouaké|8|9|171,7|79,66|62,30|COMPLETED|Relance devis
RT-00022|13/01/2024|VDR0021|CLI0082|Lyon|6|7|67.1|48.62|0.75|COMPLETED|Relance devis
RT-00023|2025/05/29|VDR0048|CLI0200|Thiès|4|6|206,8|173,44|7,26|COMPLETED|Prospection
RT-00024|2024-07-21|VDR0059|CLI0112|Mohammedia|4|2|34,7|17,30|31,83|COMPLETED|Client absent
RT-00025|2024/10/27| VDR0046 |CLI0107|Thiès|4|4|22,1|15,57|38,73|COMPLETED|Relance devis
RT-00026|2024-10-08| VDR0045 |CLI0118|Guédiawaye|3|5|294,0|199,22|2,64|PARTIAL|Prospection
RT-00027|2024-11-05|vdr0055|CLI0103|Ben Arous|7|7|24.1|17.80|48.27|COMPLETED|Client absent
RT-00028|2024-02-20|VDR0048|cli0147|NANTERRE|8|9|206,5|115,62|44,78|COMPLETED|Relance devis
RT-00029|2024-05-12|VDR0036|CLI0069|Yamoussoukro|8|8|202.3|98.90|14.61|COMPLETED|Livraison en attente
RT-00030|2025-02-02|VDR0061|CLI0239|Settat|4|4|240.9|139.21|53.47|COMPLETED|Livraison en attente
RT-00031|2024-03-21|VDR0063|CLI0144|Tivaouane|2|1|413.9|310.10|34.42|COMPLETED|Relance devis
RT-00032|2024-01-24|VDR0037|CLI0143|Grenoble|3|4|316.3|258.88|8.56|COMPLETED|Relance devis
RT-00033|2025-02-22|vdr0046|CLI0193|Essaouira|6|6|103.2|59.62|23.61|PARTIAL|Relance devis
RT-00034|2025/04/20|VDR0037|CLI0212|Bouaké|3|2|389.4|237.54|0.22|COMPLETED|Client absent
RT-00035|2024-01-30|VDR0029|CLI0036|Grenoble|6|4|261,9|180,67|47,59|PARTIAL|Relance devis
RT-00036|07/06/2025|VDR0025|CLI0218|SFAX|5|5|384,8|284,45|15,56|COMPLETED|Relance devis
RT-00037|2024-09-07|VDR0057|CLI0062|Paris|5|7|337,7|238,60|52,24|COMPLETED|Relance devis
RT-00038|2025-06-16|VDR0061|CLI0221|Cocody|8|9|171.1|142.53|57.42|COMPLETED|Relance devis
